time (s),Ground velocity (m/s),temp (C),humidity (%),pressure (hPa),conductivity (mSeimens/cm),Notes
0.403,0.0454545,22.12,62.73,1016.82,ovf,
0.45,-0.004545,22.18,62.77,1016.83,ovf,
0.483,0.0136364,22.18,62.77,1016.83,ovf,
0.521,-0.054545,22.18,62.77,1016.83,ovf,
0.57,-0.027273,22.23,62.77,1016.85,ovf,
0.618,0.0136364,22.23,62.77,1016.85,ovf,
0.667,0.0409091,22.27,62.73,1016.86,ovf,
0.716,0.0636364,22.27,62.73,1016.86,ovf,
0.765,-0.004545,22.3,62.74,1016.85,ovf,
0.814,-0.040909,22.3,62.74,1016.85,ovf,
0.863,-0.036364,22.32,62.69,1016.85,ovf,
0.916,-0.036364,22.32,62.69,1016.85,ovf,
0.961,0.0681818,22.34,62.75,1016.83,ovf,
1.009,0.0590909,22.34,62.75,1016.83,ovf,
1.058,0.0272727,22.35,62.75,1016.8,ovf,
1.107,-0.018182,22.35,62.75,1016.8,ovf,
1.157,-0.063636,22.37,62.69,1016.82,ovf,
1.206,-0.045455,22.37,62.69,1016.81,0.023,
1.256,0,22.38,62.75,1016.83,0.023,
1.307,0.0318182,22.38,62.72,1016.84,0.023,
1.358,0.0727273,22.38,62.72,1016.84,0.023,
1.41,0.0454545,22.39,62.7,1016.82,0.023,
1.464,0.05,22.39,62.7,1016.82,0.023,
1.511,-0.027273,22.4,62.75,1016.84,0.023,
1.562,-0.068182,22.4,62.75,1016.84,0.023,
1.613,-0.068182,22.4,62.81,1016.87,0.023,
1.665,-0.054545,22.4,62.81,1016.87,0.023,
1.715,0,22.41,62.77,1016.83,0.023,
1.766,0.0363636,22.41,62.77,1016.83,0.023,
1.817,0.0545455,22.41,62.69,1016.85,0.023,
1.868,0.0545455,22.41,62.69,1016.85,0.023,
1.918,-0.009091,22.41,62.7,1016.83,0.023,
1.97,-0.045455,22.41,62.7,1016.83,0.023,
2.026,-0.059091,22.42,62.71,1016.84,0.029,
2.072,-0.040909,22.42,62.71,1016.84,0.029,
2.123,-0.018182,22.42,62.71,1016.85,0.029,
2.173,0.0272727,22.42,62.71,1016.85,0.029,
2.225,0.05,22.42,62.76,1016.85,0.029,
2.276,0.05,22.42,62.76,1016.88,0.029,
2.327,0.0227273,22.43,62.71,1016.88,0.029,
2.377,-0.031818,22.43,62.67,1016.85,0.029,
2.428,-0.05,22.43,62.67,1016.85,0.029,
2.48,-0.063636,22.43,62.69,1016.81,0.029,
2.534,-0.063636,22.43,62.69,1016.81,0.029,
2.581,-0.004545,22.43,62.71,1016.84,0.029,
2.632,0.0272727,22.43,62.71,1016.84,0.029,
2.683,0.0590909,22.43,62.67,1016.85,0.029,
2.735,0.05,22.43,62.67,1016.85,0.029,
2.785,0.0136364,22.44,62.74,1016.86,0.029,
2.837,-0.040909,22.44,62.74,1016.86,0.026,
2.887,-0.081818,22.44,62.74,1016.86,0.026,
2.938,-0.063636,22.44,62.74,1016.86,0.026,
2.989,-0.031818,22.44,62.69,1016.88,0.026,
3.045,-0.018182,22.44,62.69,1016.88,0.026,
3.091,0.0363636,22.44,62.73,1016.85,0.026,
3.142,0.0590909,22.44,62.73,1016.85,0.026,
3.193,0.0227273,22.45,62.74,1016.84,0.026,
3.244,-0.004545,22.45,62.74,1016.84,0.026,
3.295,-0.031818,22.45,62.66,1016.84,0.026,
3.346,-0.081818,22.45,62.66,1016.84,0.026,
3.397,-0.045455,22.45,62.67,1016.83,0.026,
3.447,-0.040909,22.45,62.72,1016.86,0.026,
3.499,0.0272727,22.45,62.72,1016.86,0.026,
3.55,0.0545455,22.45,62.67,1016.83,0.026,
3.604,0.0636364,22.45,62.67,1016.83,0.026,
3.652,0.0363636,22.45,62.69,1016.87,0.026,
3.702,-0.027273,22.45,62.69,1016.87,0.026,
3.753,-0.054545,22.45,62.7,1016.86,0.026,
3.805,-0.090909,22.45,62.7,1016.86,0.026,
3.857,-0.054545,22.46,62.6,1016.85,0.026,
3.916,-0.090909,22.46,62.6,1016.85,0.026,
3.957,0.0363636,22.46,62.67,1016.86,0.026,
4.008,0.0681818,22.46,62.67,1016.86,0.026,
4.06,0.0454545,22.46,62.74,1016.85,0.026,
4.115,0.0454545,22.46,62.74,1016.85,0.026,
4.161,-0.027273,22.46,62.65,1016.87,0.026,
4.212,-0.05,22.46,62.65,1016.87,0.026,
4.263,-0.068182,22.45,62.67,1016.84,0.026,
4.315,-0.05,22.45,62.67,1016.84,0.026,
4.365,0.0136364,22.46,62.68,1016.84,0.026,
4.416,0.0454545,22.46,62.68,1016.84,0.026,
4.468,0.0681818,22.46,62.66,1016.84,0.026,
4.518,0.0409091,22.46,62.67,1016.87,0.026,
4.569,-0.004545,22.46,62.67,1016.87,0.026,
4.62,-0.036364,22.46,62.66,1016.87,0.026,
4.686,0.0181818,22.46,62.66,1016.87,0.026,
4.723,-0.040909,22.46,62.6,1016.85,0.026,
4.774,-0.018182,22.46,62.6,1016.85,0.026,
4.826,0.0318182,22.46,62.64,1016.85,0.026,
4.877,0.0636364,22.46,62.64,1016.85,0.026,
4.928,0.0545455,22.46,62.61,1016.86,0.026,
4.978,0.0318182,22.46,62.61,1016.86,0.026,
5.029,-0.027273,22.46,62.71,1016.86,0.026,
5.081,-0.040909,22.46,62.71,1016.86,0.026,
5.131,-0.090909,22.47,62.61,1016.88,0.026,
5.187,-0.077273,22.47,62.61,1016.88,0.026,
5.233,-0.018182,22.47,62.72,1016.85,0.026,
5.285,0.0136364,22.47,62.72,1016.85,0.029,
5.336,0.0727273,22.47,62.67,1016.86,0.029,
5.387,0.0545455,22.47,62.67,1016.86,0.029,
5.437,0.05,22.47,62.7,1016.88,0.029,
5.488,-0.031818,22.47,62.7,1016.88,0.029,
5.539,-0.054545,22.47,62.6,1016.86,0.029,
5.591,-0.063636,22.47,62.66,1016.85,0.029,
5.641,-0.036364,22.47,62.66,1016.85,0.029,
5.692,0.0181818,22.47,62.6,1016.86,0.029,
5.746,0.0318182,22.47,62.6,1016.86,0.029,
5.794,0.0590909,22.48,62.68,1016.85,0.029,
5.844,0.0681818,22.48,62.68,1016.85,0.029,
5.896,0.0090909,22.47,62.59,1016.84,0.029,
5.947,-0.009091,22.47,62.59,1016.84,0.029,
5.997,-0.059091,22.48,62.6,1016.85,0.029,
6.048,-0.022727,22.48,62.6,1016.85,0.029,
6.1,-0.022727,22.48,62.58,1016.85,0.029,
6.151,0.0181818,22.48,62.58,1016.85,0.029,
6.202,0.0545455,22.48,62.56,1016.85,0.029,
6.257,0.05,22.48,62.56,1016.85,0.029,
6.303,0.0454545,22.48,62.58,1016.87,0.029,
6.354,-0.018182,22.48,62.58,1016.87,0.029,
6.406,-0.05,22.48,62.63,1016.86,0.029,
6.456,-0.095455,22.48,62.63,1016.86,0.029,
6.507,-0.059091,22.48,62.64,1016.83,0.029,
6.558,0.0227273,22.48,62.64,1016.83,0.029,
6.609,0.0136364,22.48,62.56,1016.84,0.029,
6.661,0.0545455,22.48,62.59,1016.84,0.029,
6.711,0.0045455,22.48,62.59,1016.84,0.029,
6.762,0.0181818,22.48,62.59,1016.84,0.029,
6.816,-0.013636,22.48,62.59,1016.84,0.029,
6.863,-0.045455,22.48,62.63,1016.84,0.029,
6.916,-0.009091,22.48,62.63,1016.84,0.029,
6.966,-0.068182,22.49,62.56,1016.84,0.029,
7.017,-0.1,22.49,62.56,1016.84,0.029,
7.068,-0.031818,22.49,62.65,1016.86,0.029,
7.118,0.1181818,22.49,62.65,1016.86,0.029,
7.17,0.0954545,22.49,62.57,1016.87,0.029,
7.221,-0.009091,22.49,62.57,1016.87,0.029,
7.272,-0.036364,22.49,62.59,1016.88,0.029,
7.327,-0.059091,22.49,62.59,1016.88,0.029,
7.373,-0.045455,22.49,62.51,1016.85,0.029,
7.425,-0.022727,22.49,62.51,1016.85,0.029,
7.476,0.0681818,22.49,62.58,1016.84,0.029,
7.527,0.0590909,22.49,62.58,1016.84,0.029,
7.577,0.0409091,22.49,62.61,1016.86,0.029,
7.628,0.0090909,22.49,62.61,1016.86,0.029,
7.68,-0.05,22.49,62.55,1016.84,0.029,
7.731,-0.045455,22.49,62.55,1016.85,0.032,
7.781,-0.072727,22.49,62.58,1016.85,0.032,
7.835,-0.045455,22.49,62.59,1016.86,0.032,
7.883,0.0272727,22.49,62.59,1016.86,0.032,
7.934,0.0681818,22.49,62.62,1016.85,0.032,
7.986,0.0454545,22.49,62.62,1016.85,0.032,
8.036,0.0409091,22.49,62.56,1016.85,0.032,
8.087,-0.013636,22.49,62.56,1016.85,0.032,
8.138,-0.068182,22.49,62.59,1016.86,0.032,
8.188,-0.077273,22.49,62.59,1016.86,0.032,
8.24,-0.05,22.5,62.59,1016.86,0.032,
8.291,-0.004545,22.5,62.59,1016.86,0.032,
8.342,0.0590909,22.49,62.55,1016.85,0.032,
8.397,0.0681818,22.49,62.55,1016.85,0.032,
8.443,0.0727273,22.5,62.57,1016.86,0.032,
8.495,0.0181818,22.5,62.57,1016.86,0.032,
8.547,-0.036364,22.5,62.55,1016.84,0.032,
8.597,-0.072727,22.5,62.55,1016.84,0.032,
8.647,-0.081818,22.5,62.57,1016.86,0.032,
8.698,-0.031818,22.5,62.57,1016.86,0.032,
8.75,-0.004545,22.5,62.59,1016.85,0.032,
8.801,0.0681818,22.5,62.59,1016.85,0.032,
8.852,0.0636364,22.5,62.61,1016.85,0.032,
8.916,0.0590909,22.5,62.57,1016.85,0.032,
8.953,0.0090909,22.5,62.57,1016.85,0.032,
9.005,-0.040909,22.5,62.54,1016.84,0.032,
9.055,-0.068182,22.5,62.54,1016.84,0.032,
9.106,-0.068182,22.5,62.56,1016.83,0.032,
9.157,0,22.5,62.56,1016.83,0.032,
9.208,0.0363636,22.5,62.53,1016.83,0.032,
9.26,0.0454545,22.5,62.53,1016.83,0.032,
9.31,0.0590909,22.5,62.51,1016.84,0.032,
9.362,0.0090909,22.5,62.51,1016.84,0.026,
9.412,-0.018182,22.5,62.63,1016.85,0.026,
9.467,-0.040909,22.5,62.63,1016.85,0.026,
9.513,-0.068182,22.5,62.54,1016.84,0.026,
9.565,-0.05,22.5,62.54,1016.84,0.026,
9.616,-0.013636,22.5,62.54,1016.85,0.026,
9.667,0.0409091,22.5,62.54,1016.85,0.026,
9.717,0.05,22.5,62.58,1016.86,0.026,
9.768,0.05,22.5,62.58,1016.86,0.026,
9.82,0.0090909,22.51,62.57,1016.85,0.026,
9.871,-0.036364,22.51,62.57,1016.82,0.026,
9.922,-0.063636,22.5,62.63,1016.82,0.026,
9.977,-0.063636,22.51,62.53,1016.86,0.026,
10.034,-0.063636,22.51,62.53,1016.86,0.026,
10.075,0,22.5,62.48,1016.83,0.026,
10.126,0.0681818,22.5,62.48,1016.83,0.026,
10.177,0.0545455,22.51,62.56,1016.85,0.026,
10.227,0.05,22.51,62.56,1016.85,0.026,
10.278,0.0045455,22.51,62.54,1016.88,0.026,
10.33,-0.036364,22.51,62.54,1016.88,0.026,
10.38,-0.054545,22.51,62.55,1016.87,0.026,
10.431,-0.059091,22.51,62.55,1016.87,0.026,
10.482,0,22.51,62.53,1016.85,0.026,
10.537,-0.018182,22.51,62.53,1016.85,0.026,
10.585,0.0681818,22.51,62.55,1016.85,0.026,
10.635,0.0727273,22.51,62.55,1016.85,0.026,
10.686,0.05,22.51,62.53,1016.84,0.026,
10.737,0.0090909,22.51,62.53,1016.84,0.026,
10.788,-0.045455,22.51,62.54,1016.86,0.026,
10.839,-0.059091,22.51,62.54,1016.86,0.026,
10.89,-0.045455,22.51,62.54,1016.87,0.026,
10.941,-0.031818,22.51,62.54,1016.86,0.026,
10.993,0.0181818,22.51,62.54,1016.86,0.026,
11.046,0.0272727,22.51,62.57,1016.86,0.026,
11.094,0.0681818,22.51,62.57,1016.86,0.026,
11.145,0.0136364,22.51,62.49,1016.85,0.026,
11.196,-0.009091,22.51,62.49,1016.85,0.026,
11.246,-0.040909,22.52,62.56,1016.86,0.026,
11.297,-0.059091,22.52,62.56,1016.86,0.026,
11.348,-0.054545,22.52,62.52,1016.85,0.026,
11.4,-0.027273,22.52,62.52,1016.85,0.026,
11.451,0.0272727,22.52,62.56,1016.85,0.026,
11.501,0.05,22.52,62.56,1016.85,0.026,
11.552,0.0590909,22.52,62.54,1016.89,0.026,
11.609,0.0318182,22.52,62.54,1016.89,0.026,
11.655,-0.040909,22.52,62.52,1016.85,0.026,
11.705,-0.072727,22.52,62.52,1016.85,0.026,
11.756,-0.077273,22.52,62.56,1016.86,0.026,
11.808,-0.018182,22.52,62.56,1016.86,0.026,
11.858,0.0045455,22.52,62.55,1016.88,0.026,
11.909,0.0681818,22.52,62.55,1016.88,0.026,
11.96,0.0727273,22.52,62.53,1016.87,0.026,
12.011,0.0454545,22.52,62.53,1016.86,0.026,
12.062,0.0090909,22.52,62.52,1016.86,0.026,
12.116,-0.031818,22.52,62.45,1016.89,0.026,
12.164,-0.059091,22.52,62.45,1016.89,0.026,
12.215,-0.063636,22.52,62.55,1016.87,0.026,
12.266,-0.027273,22.52,62.55,1016.87,0.026,
12.316,0.0136364,22.52,62.53,1016.88,0.026,
12.367,0.05,22.52,62.53,1016.88,0.026,
12.419,0.0772727,22.52,62.53,1016.88,0.026,
12.47,0.0409091,22.52,62.53,1016.88,0.026,
12.521,-0.004545,22.52,62.49,1016.88,0.026,
12.571,-0.05,22.52,62.49,1016.88,0.026,
12.623,-0.077273,22.52,62.48,1016.88,0.026,
12.678,-0.072727,22.52,62.48,1016.88,0.026,
12.725,-0.018182,22.53,62.55,1016.87,0.026,
12.775,0.0454545,22.53,62.55,1016.87,0.026,
12.826,0.05,22.52,62.47,1016.86,0.026,
12.877,0.0590909,22.52,62.47,1016.86,0.026,
12.929,0.0090909,22.52,62.53,1016.83,0.026,
12.979,-0.036364,22.52,62.53,1016.83,0.026,
13.03,-0.063636,22.52,62.56,1016.84,0.026,
13.081,-0.090909,22.52,62.56,1016.84,0.026,
13.132,-0.045455,22.52,62.46,1016.87,0.026,
13.197,-0.059091,22.53,62.49,1016.84,0.026,
13.235,0.0318182,22.53,62.49,1016.84,0.026,
13.285,0.0545455,22.53,62.56,1016.85,0.026,
13.336,0.05,22.53,62.56,1016.85,0.026,
13.387,0.0272727,22.53,62.53,1016.87,0.026,
13.44,-0.045455,22.53,62.53,1016.87,0.026,
13.49,-0.045455,22.53,62.58,1016.87,0.026,
13.54,-0.063636,22.53,62.58,1016.87,0.026,
13.591,-0.013636,22.53,62.51,1016.85,0.026,
13.642,0.0272727,22.53,62.51,1016.85,0.026,
13.698,0.0409091,22.53,62.47,1016.86,0.026,
13.744,0.0681818,22.53,62.47,1016.86,0.026,
13.795,0.0227273,22.53,62.54,1016.87,0.026,
13.846,0.0181818,22.53,62.54,1016.87,0.026,
13.897,-0.040909,22.53,62.58,1016.87,0.026,
13.947,-0.054545,22.53,62.58,1016.87,0.026,
13.999,-0.040909,22.53,62.53,1016.85,0.026,
14.05,-0.013636,22.53,62.53,1016.85,0.026,
14.101,0.0409091,22.53,62.53,1016.83,0.026,
14.152,0.0454545,22.53,62.53,1016.83,0.026,
14.202,0.0454545,22.53,62.48,1016.87,0.026,
14.258,0.0272727,22.53,62.55,1016.89,0.029,
14.305,-0.036364,22.53,62.55,1016.89,0.029,
14.356,-0.068182,22.53,62.41,1016.86,0.029,
14.406,-0.059091,22.53,62.41,1016.86,0.029,
14.457,-0.022727,22.53,62.55,1016.86,0.029,
14.509,0.0090909,22.53,62.55,1016.86,0.029,
14.56,0.0727273,22.54,62.53,1016.86,0.029,
14.61,0.0681818,22.54,62.53,1016.86,0.029,
14.661,0.0409091,22.54,62.46,1016.87,0.029,
14.712,-0.004545,22.54,62.46,1016.87,0.029,
14.768,-0.022727,22.53,62.51,1016.87,0.029,
14.814,-0.054545,22.53,62.51,1016.87,0.029,
14.865,-0.05,22.53,62.5,1016.85,0.029,
14.916,-0.009091,22.53,62.5,1016.85,0.029,
14.967,0.0363636,22.54,62.53,1016.86,0.029,
15.019,0.05,22.54,62.53,1016.86,0.029,
15.07,0.0681818,22.54,62.5,1016.86,0.029,
15.12,0.0090909,22.54,62.5,1016.86,0.029,
15.171,-0.013636,22.53,62.47,1016.88,0.029,
15.222,-0.086364,22.53,62.47,1016.88,0.029,
15.272,-0.059091,22.54,62.45,1016.87,0.029,
15.327,-0.045455,22.54,62.51,1016.86,0.029,
15.375,0.0090909,22.54,62.51,1016.86,0.029,
15.426,0.05,22.54,62.55,1016.88,0.029,
15.476,0.05,22.54,62.55,1016.88,0.029,
15.527,0.0454545,22.54,62.45,1016.86,0.029,
15.579,-0.004545,22.54,62.45,1016.86,0.029,
15.63,-0.045455,22.54,62.5,1016.84,0.029,
15.68,-0.068182,22.54,62.5,1016.84,0.029,
15.731,-0.059091,22.53,62.55,1016.85,0.029,
15.782,-0.004545,22.53,62.55,1016.85,0.029,
15.838,-0.013636,22.54,62.54,1016.86,0.029,
15.885,0.0681818,22.54,62.54,1016.86,0.032,
15.935,0.0545455,22.54,62.44,1016.88,0.032,
15.986,0.0272727,22.54,62.44,1016.88,0.032,
16.037,-0.013636,22.54,62.54,1016.87,0.032,
16.089,-0.059091,22.54,62.54,1016.87,0.032,
16.139,-0.068182,22.55,62.47,1016.87,0.032,
16.201,-0.068182,22.55,62.47,1016.87,0.032,
16.241,0.0227273,22.55,62.4,1016.89,0.032,
16.292,0.0636364,22.55,62.4,1016.89,0.032,
16.344,0.0590909,22.54,62.52,1016.86,0.032,
16.398,0.05,22.54,62.5,1016.86,0.032,
16.445,-0.004545,22.54,62.5,1016.86,0.032,
16.496,-0.031818,22.55,62.52,1016.88,0.032,
16.546,-0.072727,22.55,62.52,1016.88,0.032,
16.598,-0.059091,22.55,62.42,1016.89,0.032,
16.649,-0.022727,22.55,62.42,1016.89,0.032,
16.701,0.0090909,22.55,62.49,1016.88,0.029,
16.751,0.0636364,22.55,62.49,1016.88,0.029,
16.801,0.0363636,22.55,62.44,1016.89,0.029,
16.852,0.0363636,22.55,62.44,1016.89,0.029,
16.909,-0.004545,22.55,62.5,1016.87,0.029,
16.955,-0.063636,22.55,62.5,1016.87,0.029,
17.005,-0.077273,22.55,62.43,1016.86,0.029,
17.056,-0.063636,22.55,62.43,1016.86,0.029,
17.107,0.0090909,22.55,62.54,1016.87,0.029,
17.159,0.0454545,22.55,62.54,1016.87,0.029,
17.21,0.0818182,22.55,62.45,1016.88,0.029,
17.26,0.0545455,22.55,62.45,1016.88,0.029,
17.311,0.0181818,22.55,62.49,1016.87,0.029,
17.362,-0.027273,22.55,62.49,1016.87,0.029,
17.414,-0.054545,22.55,62.44,1016.87,0.029,
17.478,-0.045455,22.55,62.43,1016.87,0.029,
17.516,-0.027273,22.55,62.43,1016.87,0.029,
17.566,0.0409091,22.55,62.49,1016.83,0.029,
17.617,0.0545455,22.55,62.49,1016.83,0.029,
17.668,0.0727273,22.55,62.53,1016.86,0.029,
17.719,0.0545455,22.55,62.53,1016.86,0.029,
17.77,-0.004545,22.55,62.46,1016.87,0.029,
17.821,-0.045455,22.55,62.46,1016.87,0.029,
17.871,-0.081818,22.55,62.42,1016.84,0.029,
17.923,-0.045455,22.55,62.42,1016.84,0.029,
17.979,-0.045455,22.56,62.4,1016.84,0.029,
18.025,0.0318182,22.56,62.4,1016.84,0.029,
18.076,0.0909091,22.55,62.47,1016.86,0.029,
18.127,0.05,22.55,62.47,1016.86,0.029,
18.178,0.0454545,22.55,62.47,1016.85,0.029,
18.229,-0.022727,22.55,62.47,1016.85,0.029,
18.28,-0.045455,22.55,62.44,1016.85,0.029,
18.331,-0.068182,22.55,62.44,1016.85,0.026,
18.381,-0.05,22.56,62.43,1016.87,0.026,
18.433,-0.022727,22.56,62.43,1016.87,0.026,
18.487,-0.022727,22.55,62.43,1016.87,0.026,
18.535,0.0636364,22.55,62.43,1016.86,0.026,
18.585,0.0454545,22.55,62.46,1016.86,0.026,
18.636,0.0272727,22.55,62.47,1016.89,0.026,
18.688,-0.027273,22.55,62.47,1016.89,0.026,
18.739,-0.081818,22.55,62.51,1016.88,0.026,
18.789,-0.081818,22.55,62.51,1016.88,0.026,
18.84,-0.063636,22.55,62.42,1016.86,0.026,
18.891,0.0045455,22.55,62.42,1016.86,0.026,
18.942,0.0454545,22.55,62.44,1016.87,0.026,
18.993,0.0727273,22.55,62.44,1016.87,0.026,
19.049,0.0636364,22.56,62.39,1016.87,0.026,
19.095,0.0090909,22.56,62.39,1016.87,0.026,
19.146,-0.036364,22.56,62.46,1016.89,0.029,
19.196,-0.072727,22.56,62.46,1016.89,0.029,
19.248,-0.045455,22.55,62.47,1016.86,0.029,
19.299,-0.022727,22.55,62.47,1016.86,0.029,
19.35,0.0136364,22.56,62.45,1016.87,0.029,
19.4,0.0545455,22.56,62.45,1016.87,0.029,
19.451,0.05,22.56,62.44,1016.88,0.029,
19.503,0.0454545,22.56,62.44,1016.88,0.029,
19.557,0.0136364,22.56,62.42,1016.88,0.029,
19.604,-0.031818,22.56,62.42,1016.88,0.029,
19.655,-0.045455,22.56,62.47,1016.88,0.029,
19.706,-0.063636,22.56,62.4,1016.88,0.029,
19.758,-0.009091,22.56,62.4,1016.88,0.029,
19.808,0.0227273,22.56,62.46,1016.85,0.029,
19.86,0.0727273,22.56,62.46,1016.85,0.029,
19.91,0.0363636,22.56,62.43,1016.85,0.029,
19.962,0.0181818,22.56,62.43,1016.85,0.029,
20.013,-0.013636,22.56,62.46,1016.87,0.029,
20.063,-0.068182,22.56,62.46,1016.87,0.029,
20.119,-0.063636,22.56,62.4,1016.85,0.029,
20.165,-0.059091,22.56,62.4,1016.85,0.029,
20.216,0.0136364,22.56,62.4,1016.87,0.029,
20.268,0.0227273,22.56,62.4,1016.87,0.029,
20.318,0.0590909,22.56,62.46,1016.88,0.029,
20.369,0.05,22.56,62.46,1016.88,0.029,
20.42,0,22.56,62.44,1016.84,0.029,
20.471,-0.040909,22.56,62.44,1016.84,0.029,
20.521,-0.090909,22.56,62.4,1016.87,0.029,
20.573,-0.054545,22.56,62.4,1016.87,0.029,
20.627,-0.036364,22.56,62.42,1016.88,0.029,
20.674,0.0318182,22.56,62.42,1016.87,0.029,
20.725,0.0727273,22.56,62.42,1016.87,0.029,
20.777,0.0545455,22.56,62.43,1016.87,0.029,
20.828,0.0318182,22.56,62.43,1016.87,0.029,
20.879,-0.045455,22.56,62.44,1016.87,0.029,
20.929,-0.068182,22.56,62.44,1016.87,0.029,
20.98,-0.068182,22.56,62.45,1016.87,0.029,
21.031,-0.054545,22.56,62.45,1016.87,0.029,
21.083,-0.009091,22.56,62.5,1016.84,0.029,
21.133,0.0454545,22.56,62.5,1016.84,0.029,
21.189,0.0409091,22.56,62.42,1016.89,0.029,
21.235,0.0727273,22.56,62.42,1016.89,0.029,
21.286,0.0227273,22.56,62.41,1016.87,0.029,
21.338,0.0227273,22.56,62.41,1016.87,0.029,
21.388,-0.077273,22.56,62.48,1016.87,0.029,
21.439,-0.018182,22.56,62.48,1016.87,0.029,
21.49,-0.063636,22.57,62.43,1016.89,0.029,
21.541,0.0545455,22.57,62.43,1016.89,0.029,
21.593,0.0318182,22.57,62.39,1016.91,0.032,
21.643,0.0954545,22.57,62.39,1016.86,0.032,
21.707,0.0318182,22.57,62.39,1016.86,0.032,
21.744,0.0272727,22.57,62.39,1016.86,0.032,
21.795,-0.045455,22.56,62.44,1016.86,0.032,
21.847,-0.054545,22.57,62.43,1016.87,0.032,
21.898,-0.05,22.57,62.43,1016.87,0.032,
21.949,-0.004545,22.56,62.45,1016.86,0.032,
21.999,0.0227273,22.56,62.45,1016.86,0.032,
22.05,0.0772727,22.57,62.41,1016.85,0.032,
22.102,0.05,22.57,62.41,1016.85,0.032,
22.153,0.0636364,22.57,62.38,1016.86,0.032,
22.204,-0.013636,22.57,62.38,1016.86,0.032,
22.259,0.0454545,22.57,62.36,1016.85,0.032,
22.318,-0.045455,22.57,62.36,1016.85,0.032,
22.356,0.0136364,22.57,62.38,1016.86,0.032,
22.409,0.0363636,22.57,62.38,1016.86,0.032,
22.458,0.0727273,22.57,62.43,1016.83,0.032,
22.509,0.0545455,22.57,62.43,1016.83,0.032,
22.56,0.05,22.57,62.38,1016.86,0.032,
22.611,0.0272727,22.57,62.38,1016.86,0.032,
22.663,-0.068182,22.57,62.41,1016.86,0.032,
22.713,-0.086364,22.57,62.41,1016.86,0.032,
22.767,-0.131818,22.57,62.36,1016.86,0.032,
22.815,-0.045455,22.57,62.36,1016.86,0.032,
22.865,-0.022727,22.57,62.4,1016.87,0.032,
22.917,0.0636364,22.57,62.35,1016.88,0.032,
22.968,0.1,22.57,62.35,1016.88,0.032,
23.019,0.1363636,22.57,62.4,1016.86,0.032,
23.07,0.0318182,22.57,62.4,1016.86,0.032,
23.12,-0.013636,22.56,62.36,1016.85,0.032,
23.172,-0.104545,22.56,62.36,1016.85,0.032,
23.224,-0.077273,22.57,62.37,1016.86,0.026,
23.274,-0.068182,22.57,62.37,1016.86,0.026,
23.323,0.0090909,22.57,62.38,1016.85,0.026,
23.375,0.0318182,22.57,62.38,1016.85,0.026,
23.427,0.0772727,22.57,62.38,1016.87,0.026,
23.478,0.1409091,22.57,62.38,1016.87,0.026,
23.529,0.0772727,22.57,62.38,1016.88,0.026,
23.579,0.0045455,22.57,62.38,1016.88,0.026,
23.63,-0.127273,22.57,62.34,1016.88,0.026,
23.682,-0.109091,22.57,62.34,1016.88,0.026,
23.733,-0.054545,22.58,62.36,1016.85,0.026,
23.783,-0.022727,22.58,62.36,1016.85,0.026,
23.839,0.0818182,22.57,62.34,1016.87,0.026,
23.885,0.1181818,22.57,62.34,1016.87,0.026,
23.937,0.1363636,22.57,62.37,1016.87,0.026,
23.987,-0.054545,22.57,62.33,1016.87,0.026,
24.039,-0.068182,22.58,62.33,1016.87,0.032,
24.089,-0.072727,22.57,62.37,1016.89,0.032,
24.14,-0.059091,22.57,62.37,1016.89,0.032,
24.19,0.0045455,22.58,62.36,1016.88,0.032,
24.242,0.1454545,22.58,62.36,1016.88,0.032,
24.293,0.0318182,22.58,62.33,1016.89,0.032,
24.347,-0.018182,22.58,62.33,1016.89,0.032,
24.394,-0.018182,22.57,62.33,1016.85,0.032,
24.445,0.0272727,22.57,62.33,1016.85,0.032,
24.497,0.0045455,22.58,62.4,1016.86,0.032,
24.548,0.0181818,22.58,62.4,1016.86,0.032,
24.599,-0.15,22.57,62.32,1016.86,0.032,
24.649,-0.145455,22.57,62.32,1016.86,0.032,
24.7,0.0136364,22.57,62.36,1016.89,0.032,
24.752,0.2,22.57,62.36,1016.89,0.032,
24.803,0.2545454,22.58,62.36,1016.87,0.032,
24.854,-0.054545,22.58,62.36,1016.87,0.032,
24.909,-0.140909,22.58,62.32,1016.87,0.032,
24.955,-0.213636,22.58,62.32,1016.87,0.032,
25.007,-0.013636,22.58,62.35,1016.9,0.032,
25.058,0.1318182,22.58,62.36,1016.86,0.032,
25.108,-0.009091,22.58,62.36,1016.86,0.032,
25.159,-0.1,22.58,62.33,1016.91,0.032,
25.21,-0.054545,22.58,62.33,1016.91,0.032,
25.262,0.2090909,22.58,62.35,1016.86,0.032,
25.312,0.1,22.58,62.35,1016.86,0.032,
25.363,-0.109091,22.58,62.38,1016.88,0.032,
25.417,-0.204545,22.58,62.38,1016.88,0.032,
25.464,-0.040909,22.58,62.32,1016.86,0.032,
25.516,0.0181818,22.58,62.32,1016.86,0.032,
25.567,-0.068182,22.58,62.33,1016.88,0.032,
25.618,-0.077273,22.58,62.33,1016.88,0.032,
25.669,0.0954545,22.58,62.29,1016.88,0.032,
25.719,0.1772727,22.58,62.29,1016.88,0.032,
25.771,-0.027273,22.58,62.29,1016.86,0.032,
25.822,-0.127273,22.58,62.29,1016.86,0.032,
